Case Number,Month,Year,Type,Country,Area,Location,Activity,Injury,Fatal (Y/N),Time,Species ,Investigator or Source,pdf,URL Reference
2016.09.18.c,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to thigh,N,13h00,,"Orlando Sentinel, 9/19/2016",2016.09.18.c-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf
2016.09.18.b,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to hands,N,11h00,,"Orlando Sentinel, 9/19/2016",2016.09.18.b-Luciano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf
2016.09.18.a,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to lower leg,N,10h43,,"Orlando Sentinel, 9/19/2016",2016.09.18.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf
2016.09.17,Sep,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,Struck by fin on chest & leg,N,,,"The Age, 9/18/2016",2016.09.17-Angiolella.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf
2016.09.15,Sep,2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,No injury: Knocked off board by shark,N,,2 m shark,"The Age, 9/16/2016",2016.09.16-BellsBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-BellsBeach.pdf
2016.09.15.R,Sep,2016,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,Shark rammed boat. No injury to occupant,N,,,"West Australian, 9/15/2016",2016.09.15.R-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf
2016.09.11,Sep,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,Minor injury to arm,N,15h15,3' to 4' shark,"News4Jax, 9/11/2016",2016.09.11-PonteVedra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf
2016.09.07,Sep,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10?","Hawaii News Now, 9/7/2016",2016.09.07-Oahu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf
2016.09.06,Sep,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,FATAL,Y,15h40,,"TVANouvelles, 9/6/2016",2016.09.06-Jewell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf
2016.09.05.b,Sep,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,Lacerations & punctures to lower right leg,N,Late afternoon,,"C. Creswell, GSAF",2016.09.05.b-Williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf
2016.09.05.a,Sep,2016,Unprovoked,AUSTRALIA,Western Australia,Injidup,Surfing,"No inury, board broken in half by shark",N,Late afternoon,,"Perth Now, 9/5/2016",2016.09.05.a-Penman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf
2016.09.04,Sep,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,Foot bitten,N,,,"Orlando Sentinel, 9/7/2016",2016.09.04-Moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf
2016.09.01,Sep,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,Two toes broken & lacerated,N,,White shark,"R. Collier, GSAF",2016.09.01-McQuillen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf
2016.08.29.b,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to right foot,N,15h00,"Bull shark, 6'","News Channel 8, 8/30/16",2016.08.29.b-Cumiskey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf
2016.08.29.a,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to ankle,N,14h00,,"News Channel 8, 8/30/16",2016.08.29.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf
2016.08.27,Aug,2016,Unprovoked,REUNION,,Boucan Canot,Surfing,"Right arm severed, ankle severely bitten",N,17h00,"Bull shark, 3.5 m","LaDepeche, 8/29/2016",2016.08.27-Chardard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf
2016.08.25,Aug,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,Minor injury to ankle,N,16h00,,"First Coast News, 7/25/2016",2016.08.25-Cassetty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf
2016.08.07,Aug,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,Lacerations to left leg,N,,,"ABC, 8/11/2016",2016.08.07-Stoch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf
2016.08.06,Aug,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,"No inury, shark & board collided",N,,"Tiger shark, 10'","SUP, 8/9/2015",2016.08.06-Baxter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf
2016.08.04,Aug,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Big toe bitten,N,,Blacktip shark,"News 965, 8/5/2016",2016.06.04-Tyler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf
2016.07.29,Jul,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,Lacerations to right hand,N,11h30,Blue shark,"Informacion.es, 7/29/2016",2016.07.29-Spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.29-Spain.pdf
2016.07.28.R,Jul,2016,Unprovoked,CHINA,Hong Kong,,Swimming,Lacerations to leg,N,,,"Klassick, 7/28/2016",2016.07.28.R-Franz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf
2016.07.28,Jul,2016,Boat,AUSTRALIA,Western Australia,Near Albany,Kayaking,"No injury, shark nudged kayak repeatedly",N,,White shark,"ABC Australia, 7/28/2016",2016.07.28-Watkins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf
2016.07.27,Jul,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,Laceration to left forearm PROVOKED INCIDENT,N,,"Nurse shark, 4'","Tampa Bay Times, 7/27/2016",2016.07.27-Sapp.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf
2016.07.26,Jul,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,"No injury. Leg rope severed, knocked off board by shark",N,12h00,,"Gold Coast Bulletin, 7/28/2016",2016.07.26-Ballina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-Ballina.pdf
2016.07.24,Jul,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,Lacerations to left leg,N,19h05,,"Japan Times, 7/25/2016",2016.07.24-Japan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-Japan.pdf
2016.07.23.b,Jul,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,Calf bumped but no injury,N,,,"C. Black, GSAF",2016.07.23.b-Critchlow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.b-Critchlow.pdf
2016.07.23.a,Jul,2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,Lacerations to face and right leg,N,,"Bull shark, 6'","KWTX, 7/23/2016",2016.07.23.a-Cutbirth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.a-Cutbirth.pdf
2016.07.20,Jul,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"reef shark, 1m","Nine News, 7/20/2016",2016.07.20-Burck.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.20-Burck.pdf
2016.07.17,Jul,2016,Boat,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,"No injury, shark bit trolling motor",N,,"Tiger shark, 10'","Al.com, 7/19/2016",2016.07.17-Gulf.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-Gulf.pdf
2016.07.16.b,Jul,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to leg,N,1300,,"Orlando Sentinel, 7/21/2016",2016.07.16.b-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-NSB.pdf
2016.07.16.a,Jul,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,Minor injury to toes,N,11h00,,"Orlando Sentinel, 7/21/2016",2016.07.16.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf
2016.07.15,Jul,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,Puncture wounds to foot,N,,,"C. Creswell, GSAF",2016.07.14-MyrtleBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14-MyrtleBeach.pdf
2016.07.14.4,Jul,2016,Unprovoked,BAHAMAS,,Tiger Beach,Scuba Diving,Face bruised when partly blind shark collided with him,N,,"Lemon shark, 9'","GrindTV, 7/14/2016",2016.07.14.R-TigerBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14.R-TigerBeach.pdf
2016.07.08.R,Jul,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,,Angel shark,La Opinion de Tenerife,2016.07.08.R-Spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.R-Spain.pdf
2016.07.08,Jul,2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,"R. Collier, GSAF",2016.07.08-CapitolaBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf
2016.07.07.b,Jul,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark,Salem News 7/8/2016,2016.07.07.b-Brissom.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-Brissom.pdf
