original order,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N),Species ,Investigator or Source
2.0,1845.0,Unprovoked,CEYLON (SRI LANKA),Eastern Province,Swimming,M,15.0,Y,Other,S.W. Baker
3.0,1883.0,Unprovoked,PANAMA,,Other,M,,Y,Other,"The Sun, 10/20/1938"
4.0,1900.0,Unprovoked,USA,North Carolina,Swimming,M,,Y,Other,"F. Schwartz, p.23; C. Creswell, GSAF"
5.0,1903.0,Unprovoked,AUSTRALIA,Western Australia,Pearl diving,M,,Y,Other,"H. Taunton; N. Bartlett,  pp. 233-234"
6.0,1903.0,Unprovoked,AUSTRALIA,Western Australia,Diving,M,,Y,Other,"H. Taunton; N. Bartlett,  p. 234"
7.0,1906.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,,Y,nurse shark,"L. Becke in New York Sun, 9/9/1906; L. Schultz & M. Malin, p.523"
8.0,1906.0,Unprovoked,AUSTRALIA,,Fishing,M,,Y,Other,"NY Sun, 9/9/1906, referring to account by Louis Becke"
9.0,1906.0,Unprovoked,AUSTRALIA,,Fishing,M,,Y,Other,"NY Sun, 9/9/1906, referring to account by Louis Becke"
10.0,1906.0,Unprovoked,AUSTRALIA,,Fishing,M,,Y,Other,"NY Sun, 9/9/1906, referring to account by Louis Becke"
11.0,1862.0,Unprovoked,USA,Hawaii,Other,F,,N,Other,Captain W. Young
12.0,1911.0,Unprovoked,ASIA?,,Swimming,M,,N,Other,"Ref. J. T. Dubois in N.Y. Sun, 3/19/1911 "
13.0,1913.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Wading,M,,Y,Other,"Rural New Yorker, 7/19/1913"
14.0,1913.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,,Y,Other,"Rural New Yorker, 7/19/1913 "
15.0,1916.0,Unprovoked,USA,North Carolina ,Swimming,M,,N,Other,"C. Creswell, GSAF; Wilmington Star, 7/17/1916 "
16.0,1917.0,Unprovoked,FIJI,Moala Island,Other,unknown,,Y,Other,"Fijian Society papers presented April 17, 1918; W.E., p.191"
17.0,1921.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Other,M,,Y,Other,"Captain A. Anderson,  Natal Mercury, 12/31/1921; M. Levine, GSAF"
18.0,1921.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Other,M,,Y,Other,"Captain A. Anderson,  Natal Mercury, 12/31/1921; M. Levine, GSAF"
19.0,1911.0,Unprovoked,VIETNAM,Ba Ria-Vung Tau  Province,Swimming,M,,N,Other,"Daily Kennebec Journal, 3/27/1911"
20.0,1921.0,Unprovoked,USA,Florida,Fishing,M,,N,Other,"T. Helm, p.219"
21.0,1920.0,Unprovoked,AUSTRALIA,Queensland,Other,M,,Y,Other,"V.M. Coppleson (1958), p.241"
22.0,0.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,,Y,Other,"L. Green in South African Beachcomber, p.97"
23.0,0.0,Unprovoked,AUSTRALIA,,Pearl diving,M,,N,Other,"Adelaide Advertiser, 1/11/1940"
24.0,0.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Wading,F,,N,Other,"L. Green in Tavern of the Seas, p.182"
25.0,1918.0,Unprovoked,REUNION,Saint-Denis,Swimming,unknown,,Y,Other,G. Van Grevelynghe
26.0,1927.0,Unprovoked,AUSTRALIA,New South Wales,Other,M,,UNKNOWN,Other,H. Capper
27.0,1930.0,Unprovoked,BELIZE,,Standing,M,16.0,Y,tiger shark,Mitchell-Hedges
28.0,0.0,Unprovoked,GREECE,Dodecanese Islands,Sponge diving,M,,N,Other,M. N. Kalafatas 
29.0,1938.0,Boat,ITALY,Adriatic Sea,Other,M,,N,shark,A. De Maddalena; Anon. (1938)
30.0,1905.0,Unprovoked,BURMA,,Bathing,M,,Y,Other,"Massillon Independent, 3/1905"
31.0,0.0,Sea Disaster,PAPUA NEW GUINEA,Madang Province,Other,M,,N,Other,"V.M. Coppleson (1962), p.257"
32.0,0.0,Sea Disaster,PAPUA NEW GUINEA,Between New Ireland & New Britain,Other,M,,N,Other,"G.A. Llano in Airmen Against the Sea, p.69; V.M. Coppleson (1962), p.257"
33.0,1905.0,Provoked,BURMA,,Other,M,,N,Other,"Massillon Independent, 3/1905"
34.0,1940.0,Sea Disaster,PACIFIC OCEAN,,Other,M,,Y,Other,G. Llano
35.0,1940.0,Unprovoked,SAUDI ARABIA,Eastern Province,Diving,M,,N,Other,G.F. Mead
36.0,1940.0,Unprovoked,SAUDI ARABIA,Eastern Province,Diving,M,,N,shark,G.F. Mead
37.0,1940.0,Unprovoked,SAUDI ARABIA,Eastern Province,Diving,M,,Y,shark,G.F. Mead
38.0,1941.0,Unprovoked,IRAQ,Basrah,Swimming,M,13.0,Y,shark,B.W. Coad & L.A.J. Al-Hassan
39.0,1941.0,Unprovoked,IRAN,Khuzestan Province,Standing,M,,Y,Other,"Lt.Col. R.S. Hunt, p.79"
40.0,1941.0,Unprovoked,IRAN,Khuzestan Province,Other,M,,Y,Other,Lt. Col. R.S. Hunt of the Royal Army Medical Corp
41.0,1941.0,Unprovoked,IRAN,Khuzestan Province,Fishing,M,,Y,Other,"Lt. Col. R.S. Hunt, pp. 80-81"
42.0,0.0,Unprovoked,AUSTRALIA,Torres Strait,Free diving,M,,N,Other,Press clipping dated 6/28/1950
43.0,1943.0,Unprovoked,SOLOMON ISLANDS,New Georgia,Floating,M,,N,Other,"W. Chapman (1949) Fishing in Troubled Waters,  p.182"
44.0,1941.0,Sea Disaster,,,Other,unknown,,Y,shark,"G.A. Llano in Airmen Against the Sea, p.69"
45.0,1952.0,Unprovoked,KIRIBATI,Gilbert Islands,Other,M,,Y,Other,"Grimble, pp. 142-143"
46.0,1956.0,Unprovoked,NORTH PACIFIC OCEAN,,Fishing,M,,N,Other,"J. Oetzel, Skin Diver Magazine, March 1956, p.19 "
47.0,1956.0,Unprovoked,KIRIBATI,Phoenix Islands,Diving,M,,N,Other,"J. Oetzel, Skin Diver Magazine, March 1956, p.19 "
48.0,1956.0,Unprovoked,MARSHALL ISLANDS,Bikini Atoll,Swimming,M,,N,Other,J.E. Lasch
49.0,1957.0,Provoked,CUBA,Havana Province,Shark fishing,M,50.0,Y,Other,"F. Poli, pp.75, 81-83"
50.0,1957.0,Unprovoked,NICARAGUA,Lake Nicaragua (fresh water),Other,M,,Y,shark,"F. Poli, pp.150-153"
51.0,1958.0,Unprovoked,INDIA,Maharashtra,Other,M,,Y,Other,"V.M. Coppleson (1958), p.261"
52.0,1958.0,Unprovoked,INDONESIA,Riau Province,Swimming,M,,Y,Other,"C.H. Townsend, p. 172; V.M. Coppleson, p.258"
53.0,1958.0,Provoked,BAHAMAS,Andros Islands,Other,M,,N,shark,"V.M. Coppleson (1958), p.97"
54.0,1958.0,Unprovoked,USA,Florida,Standing,M,,N,Other,"V.M. Coppleson (1956), p.255;  R.F. Hutton"
55.0,1958.0,Unprovoked,MADAGASCAR,Toamasina Province,Bathing,M,,Y,Other,"V.M. Coppleson (1958), p.259"
56.0,1958.0,Unprovoked,FIJI,Kadavu Island Group,Swimming,F,,N,Other,"V.M. Coppleson (1958), p.259"
57.0,1959.0,Unprovoked,BERMUDA,Paget,Spearfishing,M,,N,Other,"Mentioned in letter from L. S. Mowbray dated 4/24/1959; L. Schultz & M. Malin, p.516"
58.0,1959.0,Unprovoked,USA,California,Other,F,,N,shark,"B. Walton, Sun (San Bernardino), 6/19/1959 "
59.0,1960.0,Unprovoked,BAHAMAS,Andros Islands,Other,M,,N,shark,"Star-Ledger (Newark, NJ), 8/22/1960"
60.0,1960.0,Unprovoked,IRAQ,Basrah,Swimming,M,16.0,N,shark,B.W. Coad & L.A.J. Al-Hassan
61.0,1960.0,Unprovoked,IRAQ,Basrah,Swimming,M,,N,shark,B.W. Coad & L.A.J. Al-Hassan
62.0,1960.0,Unprovoked,IRAQ,Basrah,Fishing,M,25.0,N,Other,B.W. Coad & L.A.J. Al-Hassan
63.0,1961.0,Unprovoked,SEYCHELLES,Amirante Islands,Swimming,M,,Y,shark,"Travis, pp. 326-327"
64.0,1962.0,Unprovoked,MOZAMBIQUE,Maputo Province,Skindiving,M,36.0,N,shark,L. Bishop; V.M. Coppleson (1962)
65.0,1962.0,Unprovoked,FIJI,,Spearfishing,M,27.0,N,shark,"V. M. Coppleson (1962), p.253"
66.0,1963.0,Unprovoked,SINGAPORE,,Swimming,unknown,,N,Other,"V.M. Coppleson (1958), p.266"
67.0,1926.0,Unprovoked,AUSTRALIA,Western Australia,Pearl diving,M,,N,Other,"N. Caldwell; T. Peake, GSAF"
68.0,1963.0,Unprovoked,AUSTRALIA,Torres Strait,Diving,M,,N,shark,"G.P. Whitley (1952), p.192, cites A. Marshall"
69.0,1902.0,Unprovoked,MEDITERRANEAN SEA,,Other,M,,Y,Other,"W.H. Gregg, p.22;      L. Schultz & M. Malin, p.529"
70.0,1902.0,Unprovoked,USA,Florida,Canoeing,M,,Y,Other,"W.H. Gregg, p.19;      L. Schultz & M. Malin, p.533"
71.0,1963.0,Invalid,USA,Hawaii,Diving,M,,,Other,B. Sojka & D. Lloyd
72.0,1965.0,Unprovoked,GREECE,Island of Volos,Swimming,F,,Y,Other,"Sydney Morning Herald, 5/8/1965 "
73.0,1963.0,Unprovoked,USA,California,Free diving,M,,N,Other,"C. Limbaugh in Sharks & Survival, pp.77-78"
74.0,1967.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Other,M,,Y,Other,"Whitaker, The Sun, 1/3/1967"
75.0,1969.0,Unprovoked,RED SEA?,,Free diving,F,,N,Other,"Captain T. Falcon-Barker, pp. 91-93"
76.0,1975.0,Invalid,PAPUA NEW GUINEA,Milne Bay  Province,Scuba diving,M,,Y,Other,"F. Dennis, pp.15-16"
77.0,1975.0,Provoked,USA,Florida,Other,M,19.0,N,shark,"R. Skocik, p.176"
78.0,1987.0,Unprovoked,IRAN,Khuzestan Province,Other,M,,N,shark,B. Coad & F. Papahn
79.0,1987.0,Provoked,VANUATU,Malampa Province,Other,M,,N,hammerhead shark,S. Combs
80.0,1989.0,Unprovoked,VANUATU,Malampa Province,Other,F,,Y,Other,S. Combs
81.0,1996.0,Unprovoked,SUDAN,Red Sea State,Diving,M,,N,shark,"E. Bjurstrom,"
82.0,1995.0,Unprovoked,FRENCH POLYNESIA,Tuamotus,Fishing,M,,N,Other,J. Windh
83.0,1996.0,Unprovoked,KOREA,South Korea,Diving,F,,Y,Other,"K. Amsler, Divernet.com"
84.0,1998.0,Unprovoked,SOLOMON ISLANDS,Malaita Province,Diving,M,,N,Other,"Islands Magazine, 2/1998, p.76"
85.0,0.0,Unprovoked,REUNION,Grand'Anse,Other,M,,N,Other,G. Van Grevelynghe
86.0,0.0,Unprovoked,USA,Florida,Other,M,,N,Other,Internet
87.0,2003.0,Unprovoked,BAHAMAS,Andros Islands,Spearfishing,M,,N,shark,"R.D. Weeks, GSAF"
88.0,1963.0,Unprovoked,BAHREIN,,Pearl diving,M,,Y,shark,A.C. Doyle
89.0,1950.0,Unprovoked,AUSTRALIA,Torres Strait,Other,M,,N,shark,"A. Seekee & R. Callinan, Courier-Mail, 7/7/1995, p.7"
