Date,Year,Type,Area,Location,Activity,Sex,Fatal (Y/N),Species
2018-06-25,2018,Boating,California,"Oceanside, San Diego County",Unknown,F,N,White Shark
2018-06-18,2018,Unprovoked,Georgia,"St. Simon Island, Glynn County",Standing,F,N,
2018-06-09,2018,Invalid,Hawaii,"Habush, Oahu",Surfing,M,N,
2018-06-08,2018,Unprovoked,New South Wales,Arrawarra Headland,Surfing,M,N,Shark
2018-06-04,2018,Provoked,Colima,La Ticla,Free Diving,M,N,Tiger Shark
2018-06-03,2018,Unprovoked,New South Wales,"Flat Rock, Ballina",Unknown,M,N,
2018-06-03,2018,Unprovoked,Pernambuco,"Piedade Beach, Recife",Swimming,M,Y,Tiger Shark
2018-05-27,2018,Unprovoked,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,N,Lemon Shark
2018-05-26,2018,Unprovoked,Florida,"Cocoa Beach, BrevardCounty",Unknown,M,N,Bull Shark
2018-05-26,2018,Unprovoked,Florida,"Daytona Beach, Volusia County",Standing,M,N,
2018-05-24,2018,Provoked,Queensland,Cairns Aquarium,Unknown,M,N,Reef Shark
2018-05-21,2018,Unprovoked,South Carolina,"Isle of Palms,Charleston County",Boogie Boarding,M,N,
2018-05-13,2018,Unprovoked,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,N,
2018-05-13,2018,Invalid,Cornwall,Off Land's End,Fishing,M,N,
2018-05-01,2018,Provoked,Westerm Australia,Dugong Bay,Unknown,F,N,Nurse Shark
2018-05-12,2018,Unprovoked,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,N,
2018-05-09,2018,Unknown,New South Wales,"Sharpes Beach, Ballina",Surfing,M,N,Shark
2018-04-30,2018,Unprovoked,Hua Hin,Sai Noi Beach,Swimming,M,N,
2018-04-28,2018,Unprovoked,Cocos Island,Manuelita,Scuba Diving,M,N,Tiger Shark
2018-04-28,2018,Unprovoked,Western Australia,Gearys Beach,Surfing,M,N,
2018-04-25,2018,Unknown,New South Wales,Lennox Head,Surfing,M,N,
2018-04-25,2018,Unprovoked,Western Australia,"Surfers Point, Prevelly",Surfing,M,N,Shark
2018-04-24,2018,Unprovoked,Western Australia,"South Point, Gracetown",Surfing,M,N,White Shark
2018-04-23,2018,Unprovoked,Alifu Alifu Atoll,Madoogali,Fishing,M,N,Tiger Shark
2018-04-22,2018,Unprovoked,Western Cape Province,"Robberg Beach, Plettenberg Bay",Unknown,M,N,White Shark
2018-04-19,2018,Unprovoked,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body Boarding,M,N,Shark
2018-04-15,2018,Unprovoked,Hua Hin,Sai Noi Beach,Swimming,M,N,Bull Shark
2018-04-15,2018,Unprovoked,Pernambuco,Piedade,Swimming,M,Unknown,
2018-04-15,2018,Unprovoked,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,N,
2018-04-15,2018,Unprovoked,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,N,
2018-04-14,2018,Unprovoked,New Providence,Nirvana Beach,Surfing,M,N,Tiger Shark
2018-04-10,2018,Invalid,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,N,Shark
2018-04-09,2018,Unprovoked,Unknown,"Magenta Beach, Noumea",Windsurfing,Unknown,N,Shark
2018-04-05,2018,Unprovoked,Unknown,Bimini,Swimming,M,N,Bull Shark
2018-04-03,2018,Unprovoked,Eastern Cape Province,St. Francis Bay,Surfing,M,N,White Shark
2018-03-31,2018,Unprovoked,Hawaii,Kukio Beach,Unknown,M,N,Tiger Shark
2018-03-14,2018,Unprovoked,Western Australia,Waterman's Bay,Wading,M,N,Wobbegong Shark
2018-03-09,2018,Unprovoked,Victoria,Lorne,Swimming,M,N,Shark
2018-03-09,2018,Unprovoked,Victoria,Winkipop,Surfing,M,N,Shark
2018-02-24,2018,Unprovoked,KwaZulu-Natal,Durban,Scuba Diving,M,N,Blacktip Shark
2018-02-23,2018,Unprovoked,New South Wales,"Little Congwong Beach, La Perouse",Swimming,F,N,White Shark
2018-02-17,2018,Provoked,Victoria,Westernport Bay,Unknown,M,N,
2018-02-15,2018,Unprovoked,New South Wales,"Surf Beach, Kiama",Unknown,M,N,Bull Shark
2018-02-14,2018,Invalid,Queensland,Mooloolaba Beach,Swimming,F,N,
2018-02-11,2018,Invalid,"Boi Island, Victoria",Espirito Santo,Unknown,F,N,Shark
2018-02-03,2018,Unprovoked,Galapagos Islands,Santa Fe Island,Snorkeling,M,N,Galapagos Shark
2018-02-01,2018,Invalid,Western Australia,"Avalon Point, Manurah",Spearfishing,M,N,Shark
2018-01-28,2018,Unprovoked,Western Australia,Cone Bay,Unknown,M,N,Bull Shark
2018-01-21,2018,Unprovoked,Unknown,Nouville,Spearfishing,M,N,Bull Shark
2018-01-14,2018,Unprovoked,Queensland,Lizard Island,Diving,M,N,Reef Shark
2018-01-13,2018,Unprovoked,New South Wales,Martin Islet,Free Diving,M,N,White Shark
2018-01-12,2018,Unprovoked,Fernando de Noronha,Conceicao Beach,Surfing,M,N,Small Shark
2018-01-05,2018,Unprovoked,Western Australia,"South Point, Gracetown",Surfing,M,N,Wobbegong Shark
2017-12-31,2017,Unprovoked,Hawaii,"Hultin's Beach, Oahu",Surfing,F,N,Tiger Shark
