Case Number,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Species ,Investigator or Source,Date,Year
2018.06.25,Boating,USA,California,"Oceanside, San Diego County",unknown,F,57,N,white shark,"R. Collier, GSAF",2018-06-25,2018.0
2018.06.18,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",standing,F,11,N,unknown,"K.McMurray, TrackingSharks.com",2018-06-18,2018.0
2018.06.09,Invalid,USA,Hawaii,"Habush, Oahu",surfing,M,48,N,unknown,"K.McMurray, TrackingSharks.com",2018-06-09,2018.0
2018.06.08,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,surfing,M,Unknown,N,unknown,"B. Myatt, GSAF",2018-06-08,2018.0
2018.06.04,Provoked,MEXICO,Colima,La Ticla,diving,M,Unknown,N,tiger shark,A .Kipper,2018-06-04,2018.0
2018.06.03.b,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",surfing,M,Unknown,N,unknown,"Daily Telegraph, 6/4/2018",2018-06-03,2018.0
2018.06.03.a,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",swimming,M,18,Y,tiger shark,"Diario de Pernambuco, 6/4/2018",2018-06-03,2018.0
2018.05.27,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",fishing,M,52,N,unknown,"K. McMurray, TrackingSharks.com",2018-05-27,2018.0
2018.05.26.b,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",walking,M,15,N,bull shark,"K.McMurray, TrackingSharks.com",2018-05-26,2018.0
2018.05.26.a,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",standing,M,12,N,unknown,"K. McMurray, Tracking Sharks.com",2018-05-26,2018.0
2018.05.24,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,unknown,M,32,N,reef shark,"ABC.net.au ,05/24/2018",2018-05-24,2018.0
2018.05.21,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",boarding,M,10,N,unknown,"C. Creswell, GSAF",2018-05-21,2018.0
2018.05.13.b,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,M,10,N,unknown,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",2018-05-13,2018.0
2018.05.13.a,Invalid,ENGLAND,Cornwall,Off Land's End,fishing,M,21,N,unknown,"K. McMurray, TrackingSharks.com",2018-05-13,2018.0
2018.05.00,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,unknown,F,34,N,nurse shark,"Perth Now, 6/30/2018",2018-05-01,2018.0
2018.05.12,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",surfing,M,Unknown,N,unknown,"B.Jacob, Dispatch Live, 5/12/2018",2018-05-12,2018.0
2018.05.09,Unknown,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,M,Unknown,N,unknown,"B. Myatt, GSAF",2018-05-09,2018.0
2018.04.30.R,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,swimming,M,Unknown,N,unknown,"K. McMurray, TrackingSharks.com",2018-04-30,2018.0
2018.04.28.b,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,M,30,N,tiger shark,Costa Rica Star. 4/28/2018,2018-04-28,2018.0
2018.04.28.a,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,surfing,M,Unknown,N,unknown,"B. Myatt, GSAF",2018-04-28,2018.0
2018.04.25.b,Unknown,AUSTRALIA,New South Wales,Lennox Head,surfing,M,Unknown,N,unknown,"B. Myatt, GSAF",2018-04-25,2018.0
2018.04.25.a,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",surfing,M,60,N,unknown,"B.Myatt, GSAF",2018-04-25,2018.0
2018.04.24,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",surfing,M,Unknown,N,white shark,"B. Myatt, GSAF",2018-04-24,2018.0
2018.04.23,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,fishing,M,32,N,tiger shark,"K. McMurray, TrackingSharks.com",2018-04-23,2018.0
2018.04.22,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",unknown,M,33,N,white shark,"Africa News Agency, 4/22/2018",2018-04-22,2018.0
2018.04.19,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",boarding,M,29,N,unknown,"The Garden Island, 4/19/2018",2018-04-19,2018.0
2018.04.15.d,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,swimming,M,54,N,bull shark,"Straits Times, 4/16/2018",2018-04-15,2018.0
2018.04.15.c,Unprovoked,BRAZIL,Pernambuco,Piedade,swimming,M,34,Unknown,unknown,"Globo, 4/16/2018",2018-04-15,2018.0
2018.04.15.b,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",surfing,M,41,N,unknown,"B.Myatt, GSAF",2018-04-15,2018.0
2018.04.15.a,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",surfing,M,37,N,unknown,"B.Myatt, GSAF",2018-04-15,2018.0
2018.04.14,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,surfing,M,Unknown,N,tiger shark,"Tribune242,",2018-04-14,2018.0
2018.04.10.R,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",fishing,M,56,N,unknown,"K. McMurray, TrackingSharks.com",2018-04-10,2018.0
2018.04.09,Unprovoked,NEW CALEDONIA,Unknown,"Magenta Beach, Noumea",windsurfing,Unknown,Unknown,N,unknown,"Les Nouvelles Caledoniennes, 4/10/2018",2018-04-09,2018.0
2018.04.05,Unprovoked,BAHAMAS,Unknown,Bimini,swimming,M,12,N,bull shark,"K. McMurray, TrackingSharks.com",2018-04-05,2018.0
2018.04.03,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,surfing,M,19,N,white shark,"K. McMurray, TrackingSharks.com",2018-04-03,2018.0
2018.03.31,Unprovoked,USA,Hawaii,Kukio Beach,unknown,M,25,N,tiger shark,"Khon2, 3/31/2018",2018-03-31,2018.0
2018.03.14,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,wading,M,10,N,unknown,"B. Myatt, GSAF",2018-03-14,2018.0
2018.03.09.b,Unprovoked,AUSTRALIA,Victoria,Lorne,swimming,M,69,N,unknown,"B. Myatt, GSAF",2018-03-09,2018.0
2018.03.09.a,Unprovoked,AUSTRALIA,Victoria,Winkipop,surfing,M,18,N,unknown,"B. Myatt, GSAF",2018-03-09,2018.0
2018.02.24,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,diving,M,38,N,blacktip shark,"International Business Times, 3/1/2018",2018-02-24,2018.0
2018.02.23,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",swimming,F,55,N,white shark,"B. Myatt, GSAF",2018-02-23,2018.0
2018.02.17,Provoked,AUSTRALIA,Victoria,Westernport Bay,fishing,M,34,N,unknown,"B. Myatt, GSAF",2018-02-17,2018.0
2018.02.15,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",walking,M,35,N,bull shark,"B. Myatt, GSAF",2018-02-15,2018.0
2018.02.14,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,swimming,F,Unknown,N,unknown,"Sunshine Coast Daily, 2/15/2018",2018-02-14,2018.0
2018.02.11,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,unknown,F,46,N,unknown,TrackingSharks.com,2018-02-11,2018.0
2018.02.03,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,snorkeling,M,45,N,unknown,"The Standard (UK), 2/6/2018",2018-02-03,2018.0
2018.02.01,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",spearfishing,M,14,N,unknown,"The West Australian, 2/2/2018",2018-02-01,2018.0
2018.01.28,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,unknown,M,18,N,bull shark,"ABC.net.au, 01/28/2018",2018-01-28,2018.0
2018.01.21,Unprovoked,NEW CALEDONIA,Unknown,Nouville,spearfishing,M,Unknown,N,bull shark,TrackingSharks.com,2018-01-21,2018.0
2018.01.14,Unprovoked,AUSTRALIA,Queensland,Lizard Island,diving,M,Unknown,N,reef shark,"B. Myatt, GSAF",2018-01-14,2018.0
2018.01.13,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,diving,M,28,N,white shark,"B. Myatt, GSAF",2018-01-13,2018.0
2018.01.12,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,surfing,M,20,N,small shark,TrackingSharks.com,2018-01-12,2018.0
2018.01.05,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",surfing,M,Unknown,N,unknown,"Perth Now, 1/6/2018",2018-01-05,2018.0
2017.12.31,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",surfing,F,54,N,tiger shark,"J. Howard, Surfling Now, 1/2/2018",2017-12-31,2017.0
2017.12.30,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",surfing,F,35,N,unknown,R. Collier,2017-12-30,2017.0
2017.12.21,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,fishing,M,24,N,nurse shark,TrackingSharks.com,2017-12-21,2017.0
2017.12.09,Unprovoked,BAHAMAS,Unknown,Unknown,snorkeling,F,25,N,nurse shark,"Daily Star, 12/11/2017",2017-12-09,2017.0
2017.11.30.b,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,M,26,N,tiger shark,R. Arauz,2017-11-30,2017.0
2017.11.30.a,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,F,49,Y,tiger shark,R. Arauz,2017-11-30,2017.0
2017.11.25.R,Sea Disaster,LIBYA,Unknown, Gars Garabulli,unknown,Unknown,Unknown,Y,unknown,"TG Com 24, 11/25/2017",2017-11-25,2017.0
2017.11.24,Unprovoked,USA,California,"Stillwater Cove, Monterey County",spearfishing,M,25,N,white shark,"R. Collier, GSAF",2017-11-24,2017.0
2017.11.18,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",surfing,F,14,N,unknown,"Florida Today, 11/21/2017",2017-11-18,2017.0
2017.11.13.R,Unprovoked,Unknown,Unknown,Unknown,surfing,M,24,N,unknown,Instagram,2017-11-13,2017.0
2017.11.13,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,surfing,M,25,N,unknown,"B. Myatt, GSAF",2017-11-13,2017.0
2017.11.04,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,bathing,M,22,Y,tiger shark,TrackingSharks.com,2017-11-04,2017.0
2017.10.31.R,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,snorkeling,M,7,N,unknown,"Townsville Bulletin, 10/31/2017",2017-10-31,2017.0
2017.10.28,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,surfing,M,31,N,unknown,"B. Myatt, GSAF",2017-10-28,2017.0
2017.10.26,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",unknown,M,Unknown,N,unknown,"Hawaii News Now, 10/27/2017",2017-10-26,2017.0
2017.10.23.c,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,swimming,M,Unknown,N,unknown,"J. LeBlanc, GSAF",2017-10-23,2017.0
2017.10.23.b,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",surfing,M,17,N,unknown,"WPBF News, 10/24/2017",2017-10-23,2017.0
2017.10.23.a,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",swimming,F,60,N,unknown,"Palm Beach Post, 11/1/2017",2017-10-23,2017.0
2017.10.22,Unprovoked,AUSTRALIA,South Australia,Normanville,kayaking,F,15,N,white shark,"Nine News, 10/22/2017",2017-10-22,2017.0
2017.10.21,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",kayaking,M,Unknown,N,unknown,"New Zealand Herald, 10/22/2017",2017-10-21,2017.0
2017.10.18,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",swimming,M,Unknown,N,unknown,"WPTV, 10/19/2017",2017-10-18,2017.0
2017.10.09,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",surfing,M,54,N,tiger shark,"Hawaii News Now, 10/10/2017",2017-10-09,2017.0
2017.10.05,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",snorkeling,F,40,N,unknown,"Maui Now, 10/5/2017",2017-10-05,2017.0
2017.10.01,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,diving,M,31,Unknown,unknown,"All Africa, 10/11/2017 ",2017-10-01,2017.0
2017.09.25.b,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,M,Unknown,N,unknown,"News4Jax, 9/26/2017",2017-09-25,2017.0
2017.09.25.a,Unprovoked,AUSTRALIA,Western Australia,Gracetown,surfing,M,Unknown,N,white shark,"Stab Magazine, 9/26/2017",2017-09-25,2017.0
2017.09.24.b,Invalid,USA,New York,Rockaway,surfing,M,33,Unknown,unknown,"S. Curatolo-Wageman, GSAF",2017-09-24,2017.0
2017.09.24.a,Unprovoked,USA,Florida,Fort Worth,surfing,M,Unknown,N,unknown,"Sun Sentinel, 9/24/2017",2017-09-24,2017.0
2017.09.20,Unprovoked,USA,Florida,Palm Beach County,surfing,M,Unknown,N,unknown,"WPTV, 9/25/2017",2017-09-20,2017.0
2017.09.16.b,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,surfing,M,13,N,unknown,Turismo La Aldea,2017-09-16,2017.0
2017.09.16.a,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,M,28,N,unknown,"Orlando Sentinel, 9/16/2017",2017-09-16,2017.0
2017.09.15.b,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,diving,M,25,Unknown,unknown,"Ground Up, 9/20/2017",2017-09-15,2017.0
2017.09.15.a,Unknown,SAMOA, Upolu Island,Nofoalii,fishing,M,Unknown,N,unknown,"Samoa Observer, 9/16/2017",2017-09-15,2017.0
2017.09.14,Boating,AUSTRALIA,Westerm Australia,Esperance,fishing,Unknown,Unknown,N,white shark,"B. Myatt, GSAF",2017-09-14,2017.0
2017.09.13,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,M,18,N,unknown,"TrackingSharks.com, 10/22/2017",2017-09-13,2017.0
2017.09.10.b,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,swimming,M,Unknown,N,unknown,"West Australian, 9/11/2017",2017-09-10,2017.0
2017.09.10.a,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,surfing,M,35,N,white shark,"B. Myatt, GSAF",2017-09-10,2017.0
2017.09.06.R,Unprovoked,SOLOMON ISLANDS,Unknown,Owarigi Island,spearfishing,M,Unknown,N,unknown,BBC,2017-09-06,2017.0
2017.09.03.b,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,swimming,M,Unknown,Y,unknown,"All Africa, 10/11/2017",2017-09-03,2017.0
2017.09.03.a,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,surfing,M,42,N,unknown,"Japan Today, 9/4/2017",2017-09-03,2017.0
2017.09.02.c,Unprovoked,USA,Florida,"Marathon, Monroe County",swimming,M,Unknown,N,nurse shark,NewsFlare,2017-09-02,2017.0
2017.09.02.b,Unprovoked,USA,Texas,"South Padre Island, Cameron County",swimming,F,Unknown,N,unknown,"Brownsville Herald, 9/5/2017",2017-09-02,2017.0
2017.09.02.a,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,17,N,unknown,"Click Orlando, 9/2/2017",2017-09-02,2017.0
2017.08.29,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,surfing,M,37,N,white shark,"B. Myatt, GSAF",2017-08-29,2017.0
2017.08.27,Unprovoked,USA,Florida,Bathtub Beach ,wading,F,3,N,unknown,"Sun Sentinel, 8/27/2017",2017-08-27,2017.0
2017.08.26.b,Invalid,SPAIN,Castellón,Grao de Moncofa,swimming,F,11,Unknown,unknown,"El Periodico Mediterraneo, 8/27/2017",2017-08-26,2017.0
2017.08.26.a,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,unknown,M,Unknown,N,unknown,"C.Black, GSAF",2017-08-26,2017.0
2017.08.23,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",unknown,M,69,N,white shark,"Cape Cod Times, 8/23/2017",2017-08-23,2017.0
2017.08.18,Unprovoked,BAHAMAS,Unknown,Unknown,spearfishing,M,Unknown,N,unknown,"CBS12, 8/18/2017",2017-08-18,2017.0
2017.08.10,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",swimming,M,13,N,blacktip shark,"C. Creswell, GSAF",2017-08-10,2017.0
2017.08.05,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,snorkeling,F,20,N,unknown,"Egyptian government, 8/5/2017",2017-08-05,2017.0
2017.08.03,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",fishing,M,34,N,unknown,"MassLive, 8/4/2017",2017-08-03,2017.0
2017.08.01,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",kayaking,M,Unknown,N,white shark,"R. Collier, GSAF",2017-08-01,2017.0
2017.07.31,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",unknown,M,15,N,unknown,"K. McMurray, Tracking Sharks",2017-07-31,2017.0
2017.07.29.c,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,M,10,Unknown,small shark,"C. Creswell, GSAF",2017-07-29,2017.0
2017.07.29.a,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",unknown,F,12,N,unknown,"C. Creswell, GSAF",2017-07-29,2017.0
2017.07.27,Unprovoked,BAHAMAS,New Providence District,Rose Island,snorkeling,F,Unknown,N,unknown,"R. Rolle, Tribune 242,  7/28/2017",2017-07-27,2017.0
2017.07.26.R,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Unknown,spearfishing,M,Unknown,N,unknown,"RevistaJaraysedal.es, 7/26/2017",2017-07-26,2017.0
2017.07.24,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,surfing,M,37,N,unknown,"Telegraph UK, 7/28/2017",2017-07-24,2017.0
2017.07.23.b,Unprovoked,USA,New Jersey,Ventnor,unknown,F,Unknown,N,unknown,A. Smith,2017-07-23,2017.0
2017.07.23.a,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",swimming,F,Unknown,N,unknown,"Daily Record, 7/24/2017",2017-07-23,2017.0
2017.07.22,Unprovoked,USA,Florida,"Snipes Point, Monroe County",unknown,F,40,N,small shark,"NBC Miami, 7/23/2017",2017-07-22,2017.0
2017.07.20.c,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,F,8,Unknown,unknown,"C. Creswell, GSAF",2017-07-20,2017.0
2017.07.20.b,Boating,USA,California,"Stearns Wharf, Santa Barbara",kayaking,M,40,N,white shark,"R. Collier, GSAF",2017-07-20,2017.0
2017.07.20.a,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",unknown,M,50,N,white shark,"R. Collier, GSAF",2017-07-20,2017.0
2017.07.14.b,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",surfing,M,Unknown,N,white shark,"R. Collier, GSAF",2017-07-14,2017.0
2017.07.14.a,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,surfing,M,Unknown,N,unknown,,2017-07-14,2017.0
2017.07.11,Boating,USA,California,"Santa Cruz, Santa Cruz County",kayaking,M,Unknown,N,white shark,"R. Collier, GSAF",2017-07-11,2017.0
2017.07.09,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",swimming,M,46,N,bull shark,"Miami-Beach Patch, 7/9/2017",2017-07-09,2017.0
2017.07.07.R,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",fishing,M,32,N,tiger shark,"Tabasco Hoy, 7/7/2017",2017-07-07,2017.0
2017.07.07,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",surfing,F,13,N,white shark,"Dispatch Live, 7/7/2027",2017-07-07,2017.0
2017.07.02,Invalid,COMOROS,Anjouan,Moya,fishing,Unknown,Unknown,Unknown,unknown,"Linfo, 7/3/2017",2017-07-02,2017.0
2017.06.29,Invalid,USA,South Carolina,Wrightsville Beach,fishing,M,Unknown,Unknown,unknown,"C. Creswell, GSAF",2017-06-29,2017.0
2017.06.21,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",swimming,F,16,N,unknown,"C. Creswell, GSAF",2017-06-21,2017.0
2017.06.19,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",surfing,M,Unknown,N,unknown,"CBS12, 6/19/2017",2017-06-19,2017.0
2017.06.18.b,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",swimming,F,14,N,bull shark,"C. Creswell, GSAF",2017-06-18,2017.0
2017.06.18.a,Unprovoked,REUNION,Unknown,Roches Noire,boarding,M,34,N,bull shark,"Clincanoo, 6/19/2017",2017-06-18,2017.0
