Country	Area	Location	Month	Year	Time	Sex	Age	Type	Injury Categories	Species
USA	Florida	New Smyrna Beach, Volusia County	Sep	2016	13h00	M	16	Unprovoked	Minor injury	unknown
USA	Florida	New Smyrna Beach, Volusia County	Sep	2016	11h00	M	36	Unprovoked	Lacerations	unknown
USA	Florida	New Smyrna Beach, Volusia County	Sep	2016	10h43	M	43	Unprovoked	Lacerations	unknown
AUSTRALIA	Victoria	Thirteenth Beach	Sep	2016	unknown	M	unknown	Unprovoked	No details	unknown
AUSTRALIA	Victoria	Bells Beach	Sep	2016	unknown	M	unknown	Unprovoked	Minor injury	2 m shark
AUSTRALIA	Western Australia	Bunbury	Sep	2016	unknown	unknown	unknown	Boat	Minor injury	unknown
USA	Florida	Ponte Vedra, St. Johns County	Sep	2016	15h15	M	60s	Unprovoked	Minor injury	3' to 4' shark
USA	Hawaii	Makaha, Oahu	Sep	2016	14h30	F	51	Unprovoked	Lacerations	Tiger shark, 10?
NEW CALEDONIA	North Province	Koumac	Sep	2016	15h40	M	50	Unprovoked	Lethal	unknown
USA	South Carolina	Kingston Plantation, Myrtle Beach, Horry County	Sep	2016	Late afternoon	F	12	Unprovoked	Lacerations	unknown
AUSTRALIA	Western Australia	Injidup 	Sep	2016	Late afternoon	M	unknown	Unprovoked	No injury	unknown
USA	Florida	New Smyrna Beach, Volusia County	Sep	2016	unknown	M	9	Unprovoked	Limbs bitten	unknown
USA	California	Refugio State Beach, Santa Barbara County	Sep	2016	unknown	M	22	Unprovoked	Lacerations	White shark
USA	Florida	New Smyrna Beach, Volusia County	Aug	2016	15h00	M	25	Unprovoked	Lacerations	Bull shark, 6'
USA	Florida	New Smyrna Beach, Volusia County	Aug	2016	14h00	M	37	Unprovoked	Minor injury	unknown
REUNION	unknown	Boucan Canot	Aug	2016	17h00	M	20	Unprovoked	Limbs bitten	Bull shark, 3.5 m
USA	Florida	Ponte Vedra, St. Johns County	Aug	2016	16h00	M	49	Unprovoked	Minor injury	unknown
BAHAMAS	New Providence Island	Nassau	Aug	2016	unknown	M	15	Unprovoked	Lacerations	unknown
USA	Hawaii	Maui	Aug	2016	unknown	M	21	Unprovoked	No injury	Tiger shark, 10' 
USA	Florida	New Smyrna Beach, Volusia County	Aug	2016	unknown	M	22	Unprovoked	Limbs bitten	Blacktip shark
