Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Avg age,Injury,Fatal,Investigator or Source,href formula
2016.09.18,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16.0,28.0,Minor injury to thigh,N,"Orlando Sentinel, 9/19/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf
2016.09.18,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36.0,28.0,Lacerations to hands,N,"Orlando Sentinel, 9/19/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf
2016.09.18,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43.0,28.0,Lacerations to lower leg,N,"Orlando Sentinel, 9/19/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf
2016.09.11,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,60.0,28.0,Minor injury to arm,N,"News4Jax, 9/11/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf
2016.09.07,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51.0,28.0,Severe lacerations to shoulder & forearm,N,"Hawaii News Now, 9/7/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf
2016.09.05,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12.0,28.0,Lacerations & punctures to lower right leg,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf
2016.09.04,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,,28.0,Foot bitten,N,"Orlando Sentinel, 9/7/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf
2016.09.01,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22.0,28.0,Two toes broken & lacerated,N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf
2016.08.29,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,25.0,28.0,Lacerations to right foot,N,"News Channel 8, 8/30/16",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf
2016.08.29,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,37.0,28.0,Minor injury to ankle,N,"News Channel 8, 8/30/16",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf
2016.08.25,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,49.0,28.0,Minor injury to ankle,N,"First Coast News, 7/25/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf
2016.08.06,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,21.0,28.0,"No inury, shark & board collided",N,"SUP, 8/9/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf
2016.08.04,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22.0,28.0,Big toe bitten,N,"News 965, 8/5/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf
2016.07.27,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,43.0,28.0,Laceration to left forearm PROVOKED INCIDENT,N,"Tampa Bay Times, 7/27/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf
2016.07.17,2016,Boat,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,,,28.0,"No injury, shark bit trolling motor",N,"Al.com, 7/19/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-Gulf.pdf
2016.07.16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,,28.0,Minor injury to leg,N,"Orlando Sentinel, 7/21/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-NSB.pdf
2016.07.16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,F,11.0,28.0,Minor injury to toes,N,"Orlando Sentinel, 7/21/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf
2016.07.15,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,,28.0,Puncture wounds to foot,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14-MyrtleBeach.pdf
2016.07.08,2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,M,,28.0,"No injury. Hull bitten, tooth fragment recovered",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf
2016.07.07,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,59.0,28.0,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,Salem News 7/8/2016,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-Brissom.pdf
2016.07.07,2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,M,,28.0,"No injury. Hull bitten, tooth fragment recovered",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf
