,Year,Month,Time_Day,Country,Activity,Sex,Fatal_Injury,Age
0,2016,Septembrer,Noon,Usa,Surfing,M,N,16
1,2016,Septembrer,Noon,Usa,Surfing,M,N,36
2,2016,Septembrer,Morning,Usa,Surfing,M,N,43
3,2016,Septembrer,Unknown,Australia,Surfing,M,N,Unknown
4,2016,Septembrer,Unknown,Australia,Surfing,M,N,Unknown
5,2016,Septembrer,Unknown,Australia,Fishing,Unknown,N,Unknown
6,2016,Septembrer,Afternoon,Usa,Wading,M,N,60
7,2016,Septembrer,Noon,Usa,Swimming,F,N,51
8,2016,Septembrer,Afternoon,New caledonia,Kite surfing,M,Y,50
9,2016,Septembrer,Afternoon,Usa,Boogie boarding,F,N,12
10,2016,Septembrer,Afternoon,Australia,Surfing,M,N,Unknown
11,2016,Septembrer,Unknown,Usa,Body boarding,M,N,9
12,2016,Septembrer,Unknown,Usa,Spearfishing,M,N,22
13,2016,August,Afternoon,Usa,Surfing,M,N,25
14,2016,August,Noon,Usa,Surfing,M,N,37
15,2016,August,Afternoon,Reunion,Surfing,M,N,20
16,2016,August,Afternoon,Usa,Wading,M,N,49
17,2016,August,Unknown,Bahamas,Snorkeling,M,N,15
18,2016,August,Unknown,Usa,Sup foil boarding,M,N,21
19,2016,August,Unknown,Usa,Surfing,M,N,22
20,2016,July,Noon,Spain,Swimming,M,N,40
21,2016,July,Unknown,China,Swimming,M,N,72
22,2016,July,Unknown,Australia,Kayaking,M,N,Unknown
23,2016,July,Unknown,Usa,Lobstering,M,N,43
24,2016,July,Noon,Australia,Surfing,M,N,18
25,2016,July,Evening,Japan,Surfing,M,N,29
26,2016,July,Unknown,Australia,Surfing,M,N,36
27,2016,July,Unknown,Bahamas,Spearfishing,M,N,Unknown
28,2016,July,Noon,Australia,Fishing,M,N,31
29,2016,July,Unknown,Usa,Fishing,Unknown,N,Unknown
30,2016,July,NoonNight,Usa,Surfing,F,N,9
31,2016,July,Noon,Usa,Unknown,F,N,11
32,2016,July,Unknown,Usa,Swimming,M,N,Unknown
33,2016,July,Unknown,Bahamas,Scuba diving,M,N,Unknown
34,2016,July,Unknown,Spain,Wading,F,N,10
35,2016,July,Unknown,Usa,Fishing,M,N,Unknown
36,2016,July,Morning,Usa,Fishing,M,N,59
37,2016,July,Unknown,Usa,Fishing,M,N,Unknown
38,2016,July,Noon,Usa,Swimming,F,N,42
39,2016,July,Evening,Australia,Fishing,M,N,34
40,2016,June,Afternoon,Usa,Unknown,M,N,35
41,2016,June,Noon,Usa,Surfing,M,N,11
42,2016,June,Noon,Columbia,Scuba diving,M,N,59
43,2016,June,Unknown,South africa,Spearfishing,M,N,43
44,2016,June,Afternoon,Usa,Floating,M,N,42
45,2016,June,Noon,Usa,Wading,M,N,Unknown
46,2016,June,Morning,Usa,Surfing,M,N,Unknown
47,2016,June,Unknown,Australia,Spearfishing,M,N,19
48,2016,June,Afternoon,Usa,Floating in tube,F,N,6
49,2016,June,Afternoon,Usa,Standing,M,N,19
50,2016,June,Noon,Usa,Surfing,M,N,27
51,2016,June,Morning,Usa,Swimming,M,N,64
52,2016,June,Noon,Australia,Diving,F,Y,60
53,2016,June,Morning,Egypt,Swimming,M,N,23
54,2016,June,Unknown,Australia,Spearfishing,M,Unknown,Unknown
55,2016,June,Noon,New caledonia,Kite surfing,M,N,Unknown
56,2016,May,Afternoon,Australia,Surfing,M,Y,29
57,2016,May,Afternoon,Usa,Swimming,F,N,52
58,2016,May,Afternoon,Usa,Swimming,M,N,13
59,2016,May,Noon,Usa,Swimming,F,N,57
60,2016,May,Afternoon,Usa,Swimming,F,N,22
61,2016,May,Afternoon,Usa,Swimming,F,N,11
62,2016,May,Morning,Usa,Swimming,M,N,48
63,2016,May,Noon,Usa,Teasing a shark,F,N,23
64,2016,May,Afternoon,Usa,Floating,M,N,59
65,2016,May,Noon,New zealand,Fishing,M,N,39
66,2016,April,Morning,Indonesia,Surfing,M,N,24
67,2016,April,Afternoon,Usa,Surfing,M,N,15
68,2016,April,Morning,South africa,Surf skiing,M,N,Unknown
