Year,Country,Sex,Activity,Type,Fatal
2016,USA,M,Surfing,Unprovoked,N
2016,USA,M,Surfing,Unprovoked,N
2016,USA,M,Surfing,Unprovoked,N
2016,Australia,M,Surfing,Unprovoked,N
2016,Australia,M,Surfing,Unprovoked,N
2016,Australia,Unkown,Fishing,Boat,N
2016,USA,M,Wading,Unprovoked,N
2016,USA,F,Swimming,Unprovoked,N
2016,New Caledonia,M,Kite surfing,Unprovoked,Y
2016,USA,F,Boogie boarding,Unprovoked,N
2016,Australia,M,Surfing,Unprovoked,N
2016,USA,M,Body boarding,Unprovoked,N
2016,USA,M,Spearfishing,Unprovoked,N
2016,USA,M,Surfing,Unprovoked,N
2016,USA,M,Surfing,Unprovoked,N
2016,Reunion,M,Surfing,Unprovoked,N
2016,USA,M,Wading,Unprovoked,N
2016,Bahamas,M,Snorkeling,Unprovoked,N
2016,USA,M,SUP Foil boarding,Unprovoked,N
2016,USA,M,Surfing,Unprovoked,N
2016,Spain,M,Swimming,Unprovoked,N
2016,China,M,Swimming,Unprovoked,N
2016,Australia,M,Kayaking,Boat,N
2016,USA,M,Lobstering,Provoked,N
2016,Australia,M,Surfing,Unprovoked,N
2016,Japan,M,Surfing,Unprovoked,N
2016,Australia,M,Surfing,Unprovoked,N
2016,Bahamas,M,Spearfishing,Unprovoked,N
2016,Australia,M,Fishing,Provoked,N
2016,USA,Unkown,Fishing in Alabama Deep Fishing Rodeo,Boat,N
2016,USA,F,Surfing,Unprovoked,N
2016,USA,F,,Unprovoked,N
2016,USA,M,Swimming,Unprovoked,N
2016,Bahamas,M,Scuba Diving,Unprovoked,N
2016,Spain,F,Wading,Unprovoked,N
2016,USA,M,Fishing for squid,Boat,N
2016,USA,M,Fishing,Provoked,N
2016,USA,M,Fishing for sharks,Boat,N
2016,USA,F,Swimming,Unprovoked,N
2016,Australia,M,Fishing,Provoked,N
2016,USA,M,,Unprovoked,N
2016,USA,M,Surfing,Unprovoked,N
2016,Columbia,M,Scuba Diving,Unprovoked,N
2016,South Africa,M,Spearfishing,Unprovoked,N
2016,USA,M,Floating,Unprovoked,N
2016,USA,M,Wading,Unprovoked,N
2016,USA,M,Surfing,Unprovoked,N
2016,Australia,M,Spearfishing,Provoked,N
2016,USA,F,Floating in tube,Unprovoked,N
2016,USA,M,Standing,Unprovoked,N
2016,USA,M,Surfing,Invalid,N
2016,USA,M,Swimming,Unprovoked,N
2016,Australia,F,Diving,Unprovoked,Y
2016,Egypt,M,Swimming,Unprovoked,N
2016,Australia,M,Spearfishing,Unprovoked,N
2016,New Caledonia,M,Kite surfing,Unprovoked,N
2016,Australia,M,Surfing,Unprovoked,Y
2016,USA,F,Swimming,Unprovoked,N
2016,USA,M,Swimming,Unprovoked,N
2016,USA,F,Swimming,Unprovoked,N
2016,USA,F,Swimming,Unprovoked,N
2016,USA,F,Swimming,Unprovoked,N
2016,USA,M,Swimming,Unprovoked,N
2016,USA,F,Teasing a shark,Provoked,N
