case_number,year,century,sex,age,country,area,location,activity,type_attack,species
2016.09.18.c,2016,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2016.09.18.b,2016,XXI,Male,Adult,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2016.09.18.a,2016,XXI,Male,Adult,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2016.09.17,2016,XXI,Male,Unknown,Australia,Victoria,Thirteenth Beach,Surfing,Unprovoked,Unknown
2016.09.15,2016,XXI,Male,Unknown,Australia,Victoria,Bells Beach,Surfing,Unprovoked,2 m shark
2016.09.15.R,2016,XXI,Unknown,Unknown,Australia,Western Australia,Bunbury,Fishing,Boating,Unknown
2016.09.11,2016,XXI,Male,Senior,Usa,Florida,"Ponte Vedra, St. Johns County",Wading,Unprovoked,3' to 4' shark
2016.09.07,2016,XXI,Female,Adult,Usa,Hawaii,"Makaha, Oahu",Swimming,Unprovoked,"Tiger shark, 10?"
2016.09.06,2016,XXI,Male,Adult,New Caledonia,North Province,Koumac,Kite surfing,Unprovoked,Unknown
2016.09.05.b,2016,XXI,Female,Teen,Usa,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,Unprovoked,Unknown
2016.09.05.a,2016,XXI,Male,Unknown,Australia,Western Australia,Injidup ,Surfing,Unprovoked,Unknown
2016.09.04,2016,XXI,Male,Children,Usa,Florida,"New Smyrna Beach, Volusia County",Body boarding,Unprovoked,Unknown
2016.09.01,2016,XXI,Male,Young,Usa,California,"Refugio State Beach, Santa Barbara County",Spearfishing,Unprovoked,White shark
2016.08.29.b,2016,XXI,Male,Young,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,"Bull shark, 6'"
2016.08.29.a,2016,XXI,Male,Adult,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2016.08.27,2016,XXI,Male,Young,Reunion,Unknown,Boucan Canot,Surfing,Unprovoked,"Bull shark, 3.5 m"
2016.08.25,2016,XXI,Male,Adult,Usa,Florida,"Ponte Vedra, St. Johns County",Wading,Unprovoked,Unknown
2016.08.07,2016,XXI,Male,Teen,Bahamas,New Providence Island,Nassau,Snorkeling,Unprovoked,Unknown
2016.08.06,2016,XXI,Male,Young,Usa,Hawaii,Maui,SUP Foil boarding,Unprovoked,"Tiger shark, 10' "
2016.08.04,2016,XXI,Male,Young,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Blacktip shark
2016.07.29,2016,XXI,Male,Adult,Spain,Alicante Province,Arenales del Sol,Swimming,Unprovoked,Blue shark
2016.07.28.R,2016,XXI,Male,Senior,China,Hong Kong,Unknown,Swimming,Unprovoked,Unknown
