date,month,year,type,country,activity,sex,age,fatal (y/n)
18-Sep-16,sep,2016,Unprovoked,USA,Surfing,M,16,N
18-Sep-16,sep,2016,Unprovoked,USA,Surfing,M,36,N
18-Sep-16,sep,2016,Unprovoked,USA,Surfing,M,43,N
17-Sep-16,sep,2016,Unprovoked,AUSTRALIA,Surfing,M,,N
16-Sep-16,sep,2016,Unprovoked,AUSTRALIA,Surfing,M,,N
15-Sep-16,sep,2016,Boat,AUSTRALIA,Fishing,,,N
11-Sep-16,sep,2016,Unprovoked,USA,Wading,M,60s,N
07-Sep-16,sep,2016,Unprovoked,USA,Swimming,F,51,N
06-Sep-16,sep,2016,Unprovoked,NEW CALEDONIA,Kite surfing,M,50,Y
05-Sep-16,sep,2016,Unprovoked,USA,Boogie boarding,F,12,N
05-Sep-16,sep,2016,Unprovoked,AUSTRALIA,Surfing,M,,N
04-Sep-16,sep,2016,Unprovoked,USA,Body boarding,M,9,N
01-Sep-16,sep,2016,Unprovoked,USA,Spearfishing,M,22,N
29-Aug-16,aug,2016,Unprovoked,USA,Surfing,M,25,N
29-Aug-16,aug,2016,Unprovoked,USA,Surfing,M,37,N
27-Aug-16,aug,2016,Unprovoked,REUNION,Surfing,M,20,N
25-Aug-16,aug,2016,Unprovoked,USA,Wading,M,49,N
07-Aug-16,aug,2016,Unprovoked,BAHAMAS,Snorkeling,M,15,N
06-Aug-16,aug,2016,Unprovoked,USA,SUP Foil boarding,M,21,N
04-Aug-16,aug,2016,Unprovoked,USA,Surfing,M,22,N
29-Jul-16,jul,2016,Unprovoked,SPAIN,Swimming,M,40,N
28-Jul-16,jul,2016,Unprovoked,CHINA,Swimming,M,72,N
28-Jul-16,jul,2016,Boat,AUSTRALIA,Kayaking,M,,N
27-Jul-16,jul,2016,Provoked,USA,Lobstering,M,43,N
26-Jul-16,jul,2016,Unprovoked,AUSTRALIA,Surfing,M,18,N
24-Jul-16,jul,2016,Unprovoked,JAPAN,Surfing,M,29,N
23-Jul-16,jul,2016,Unprovoked,AUSTRALIA,Surfing,M,36,N
23-Jul-16,jul,2016,Unprovoked,BAHAMAS,Spearfishing,M,,N
20-Jul-16,jul,2016,Provoked,AUSTRALIA,Fishing,M,31,N
17-Jul-16,jul,2016,Boat,USA,Fishing in Alabama Deep Fishing Rodeo,,,N
16-Jul-16,jul,2016,Unprovoked,USA,Surfing,F,9,N
16-Jul-16,jul,2016,Unprovoked,USA,,F,11,N
15-Jul-16,jul,2016,Unprovoked,USA,Swimming,M,,N
Reported  14-Jul-2016,jul,2016,Unprovoked,BAHAMAS,Scuba Diving,M,,N
Reported 08-Jul-2016,jul,2016,Unprovoked,SPAIN,Wading,F,10,N
08-Jul-16,jul,2016,Boat,USA,Fishing for squid,M,,N
07-Jul-16,jul,2016,Provoked,USA,Fishing,M,59,N
07-Jul-16,jul,2016,Boat,USA,Fishing for sharks,M,,N
06-Jul-16,jul,2016,Unprovoked,USA,Swimming,F,42,N
04-Jul-16,jul,2016,Provoked,AUSTRALIA,Fishing,M,34,N
27-Jun-16,jun,2016,Unprovoked,USA,,M,35,N
25-Jun-16,jun,2016,Unprovoked,USA,Surfing,M,11,N
24-Jun-16,jun,2016,Unprovoked,COLUMBIA,Scuba Diving,M,59,N
23-Jun-16,jun,2016,Unprovoked,SOUTH AFRICA,Spearfishing,M,43,N
21-Jun-16,jun,2016,Unprovoked,USA,Floating,M,42,N
21-Jun-16,jun,2016,Unprovoked,USA,Wading,M,,N
15-Jun-16,jun,2016,Unprovoked,USA,Surfing,M,,N
15-Jun-16,jun,2016,Provoked,AUSTRALIA,Spearfishing,M,19,N
14-Jun-16,jun,2016,Unprovoked,USA,Floating in tube,F,6,N
11-Jun-16,jun,2016,Unprovoked,USA,Standing,M,19,N
07-Jun-16,jun,2016,Invalid,USA,Surfing,M,27,N
05-Jun-16,jun,2016,Unprovoked,USA,Swimming,M,64,N
05-Jun-16,jun,2016,Unprovoked,AUSTRALIA,Diving,F,60,Y
04-Jun-16,jun,2016,Unprovoked,EGYPT,Swimming,M,23,N
02-Jun-16,jun,2016,Unprovoked,AUSTRALIA,Spearfishing,M,,
02-Jun-16,jun,2016,Unprovoked,NEW CALEDONIA,Kite surfing,M,,N
31-May-16,may,2016,Unprovoked,AUSTRALIA,Surfing,M,29,Y
29-May-16,may,2016,Unprovoked,USA,Swimming,F,52,N
29-May-16,may,2016,Unprovoked,USA,Swimming,M,13,N
22-May-16,may,2016,Unprovoked,USA,Swimming,F,57,N
21-May-16,may,2016,Unprovoked,USA,Swimming,F,22,N
21-May-16,may,2016,Unprovoked,USA,Swimming,F,11,N
18-May-16,may,2016,Unprovoked,USA,Swimming,M,48,N
15-May-16,may,2016,Provoked,USA,Teasing a shark,F,23,N
03-May-16,may,2016,Unprovoked,USA,Floating,M,59,N
02-May-16,may,2016,Provoked,NEW ZEALAND,Fishing,M,39,N
25-Apr-16,apr,2016,Unprovoked,INDONESIA,Surfing,M,24,N
23-Apr-16,apr,2016,Unprovoked,USA,Surfing,M,15,N
22-Apr-16,apr,2016,Unprovoked,SOUTH AFRICA,Surf-skiing,M,,N
19-Apr-16,apr,2016,Unprovoked,AUSTRALIA,Swimming,M,12,N
18-Apr-16,apr,2016,Provoked,FRENCH POLYNESIA,Spearfishing,M,26,N
13-Apr-16,apr,2016,Unprovoked,USA,Spearfishing,M,26,N
09-Apr-16,apr,2016,Unprovoked,NEW CALEDONIA,Walking,F,69,Y
08-Apr-16,apr,2016,Invalid,CAPE VERDE,,M,60,N
07-Apr-16,apr,2016,Unprovoked,USA,Fishing,M,34,N
07-Apr-16,apr,2016,Invalid,USA,SUP,M,,N
31-Mar-16,mar,2016,Unprovoked,USA,Snorkeling,F,46,N
30-Mar-16,mar,2016,Unprovoked,AUSTRALIA,Surfing,M,22,N
28-Mar-16,mar,2016,Unprovoked,USA,,M,Teen,N
28-Mar-16,mar,2016,Unprovoked,AUSTRALIA,Surfing,M,41,N
26-Mar-16,mar,2016,Provoked,BAHAMAS,,M,9,N
13-Mar-16,mar,2016,Invalid,USA,Surfing,,,N
11-Mar-16,mar,2016,Unprovoked,USA,Body surfing,M,19,N
10-Mar-16,mar,2016,Unprovoked,Fiji,Diving for beche-de-mer,M,45,Y
04-Mar-16,mar,2016,Unprovoked,USA,,M,12,N
Reported 03-Mar-2016,mar,2016,Unprovoked,AUSTRALIA,Fishing,M,,N
02-Mar-16,mar,2016,Unprovoked,BRAZIL,Swimming,M,41,N
22-Feb-16,feb,2016,Unprovoked,NEW CALEDONIA,Kite surfing,M,21,N
 19-Feb-2016,feb,2016,Unprovoked,NEW CALEDONIA,Spearfishing,M,31,N
12-Feb-16,feb,2016,Unprovoked,DOMINICAN REPUBLIC,Wading,F,,N
Reported 10-Feb-2016,feb,2016,Invalid,CAYMAN ISLANDS,Feeding stingrays?,M,65,N
10-Feb-16,feb,2016,Invalid,AUSTRALIA,Surfing,M,,N
05-Feb-16,feb,2016,Unprovoked,AUSTRALIA,Walking,F,45,N
04-Feb-16,feb,2016,Unprovoked,AUSTRALIA,Windsurfing,M,40,N
29-Jan-16,jan,2016,Boat,SOUTH AFRICA,Kayak fishing,M,,N
28-Jan-16,jan,2016,Unprovoked,USA,Surfing,M,,N
25-Jan-16,jan,2016,Unprovoked,USA,Surfing,F,15,N
24-Jan-16,jan,2016,Unprovoked,USA,Spearfishing,M,,N
