case_number,date,year,country,sex,age,fatal,provoked,season
2016.09.18.c,18-Sep-16,2016,USA,M,16.0,0,0,Summer
2016.09.18.b,18-Sep-16,2016,USA,M,36.0,0,0,Summer
2016.09.18.a,18-Sep-16,2016,USA,M,43.0,0,0,Summer
2016.09.17,17-Sep-16,2016,AUSTRALIA,M,,0,0,Summer
2016.09.15,16-Sep-16,2016,AUSTRALIA,M,,0,0,Summer
2016.09.15.R,15-Sep-16,2016,AUSTRALIA,,,0,,Summer
2016.09.11,11-Sep-16,2016,USA,M,,0,0,Summer
2016.09.07,07-Sep-16,2016,USA,F,51.0,0,0,Summer
2016.09.06,06-Sep-16,2016,NEW CALEDONIA,M,50.0,1,0,Summer
2016.09.05.b,05-Sep-16,2016,USA,F,12.0,0,0,Summer
2016.09.05.a,05-Sep-16,2016,AUSTRALIA,M,,0,0,Summer
2016.09.04,04-Sep-16,2016,USA,M,9.0,0,0,Summer
2016.09.01,01-Sep-16,2016,USA,M,22.0,0,0,Summer
2016.08.29.b,29-Aug-16,2016,USA,M,25.0,0,0,Summer
2016.08.29.a,29-Aug-16,2016,USA,M,37.0,0,0,Summer
2016.08.27,27-Aug-16,2016,REUNION,M,20.0,0,0,Summer
2016.08.25,25-Aug-16,2016,USA,M,49.0,0,0,Summer
2016.08.07,07-Aug-16,2016,BAHAMAS,M,15.0,0,0,Summer
2016.08.06,06-Aug-16,2016,USA,M,21.0,0,0,Summer
2016.08.04,04-Aug-16,2016,USA,M,22.0,0,0,Summer
2016.07.29,29-Jul-16,2016,SPAIN,M,40.0,0,0,Summer
2016.07.28.R,28-Jul-16,2016,CHINA,M,72.0,0,0,Summer
2016.07.28,28-Jul-16,2016,AUSTRALIA,M,,0,,Summer
2016.07.27,27-Jul-16,2016,USA,M,43.0,0,1,Summer
2016.07.26,26-Jul-16,2016,AUSTRALIA,M,18.0,0,0,Summer
2016.07.24,24-Jul-16,2016,JAPAN,M,29.0,0,0,Summer
2016.07.23.b,23-Jul-16,2016,AUSTRALIA,M,36.0,0,0,Summer
2016.07.23.a,23-Jul-16,2016,BAHAMAS,M,,0,0,Summer
2016.07.20,20-Jul-16,2016,AUSTRALIA,M,31.0,0,1,Summer
2016.07.17,17-Jul-16,2016,USA,,,0,,Summer
2016.07.16.b,16-Jul-16,2016,USA,F,9.0,0,0,Summer
2016.07.16.a,16-Jul-16,2016,USA,F,11.0,0,0,Summer
2016.07.15,15-Jul-16,2016,USA,M,,0,0,Summer
2016.07.14.4,Reported  14-Jul-2016,2016,BAHAMAS,M,,0,0,Summer
2016.07.08.R,Reported 08-Jul-2016,2016,SPAIN,F,10.0,0,0,Summer
2016.07.08,08-Jul-16,2016,USA,M,,0,,Summer
2016.07.07.b,07-Jul-16,2016,USA,M,59.0,0,1,Summer
2016.07.07.a,07-Jul-16,2016,USA,M,,0,,Summer
2016.07.06,06-Jul-16,2016,USA,F,42.0,0,0,Summer
2016.07.04,04-Jul-16,2016,AUSTRALIA,M,34.0,0,1,Summer
2016.06.27,27-Jun-16,2016,USA,M,35.0,0,0,Spring
2016.06.25,25-Jun-16,2016,USA,M,11.0,0,0,Spring
2016.06.24,24-Jun-16,2016,COLUMBIA,M,59.0,0,0,Spring
2016.06.23,23-Jun-16,2016,SOUTH AFRICA,M,43.0,0,0,Spring
2016.06.21.b,21-Jun-16,2016,USA,M,42.0,0,0,Spring
2016.06.21.a,21-Jun-16,2016,USA,M,,0,0,Spring
2016.06.15.b,15-Jun-16,2016,USA,M,,0,0,Spring
2016.06.15.a,15-Jun-16,2016,AUSTRALIA,M,19.0,0,1,Spring
2016.06.14,14-Jun-16,2016,USA,F,6.0,0,0,Spring
2016.06.11,11-Jun-16,2016,USA,M,19.0,0,0,Spring
2016.06.07,07-Jun-16,2016,USA,M,27.0,0,,Spring
2016.06.05.b,05-Jun-16,2016,USA,M,64.0,0,0,Spring
2016.06.05.a,05-Jun-16,2016,AUSTRALIA,F,60.0,1,0,Spring
2016.06.04,04-Jun-16,2016,EGYPT,M,23.0,0,0,Spring
2016.06.02.b,02-Jun-16,2016,AUSTRALIA,M,,,0,Spring
2016.06.02.a,02-Jun-16,2016,NEW CALEDONIA,M,,0,0,Spring
2016.05.31,31-May-16,2016,AUSTRALIA,M,29.0,1,0,Spring
2016.05.29.b,29-May-16,2016,USA,F,52.0,0,0,Spring
2016.05.29.a,29-May-16,2016,USA,M,13.0,0,0,Spring
2016.05.22,22-May-16,2016,USA,F,57.0,0,0,Spring
2016.05.21.b,21-May-16,2016,USA,F,22.0,0,0,Spring
2016.05.21.a,21-May-16,2016,USA,F,11.0,0,0,Spring
2016.05.18,18-May-16,2016,USA,M,48.0,0,0,Spring
2016.05.15,15-May-16,2016,USA,F,23.0,0,1,Spring
2016.05.03,03-May-16,2016,USA,M,59.0,0,0,Spring
2016.05.02,02-May-16,2016,NEW ZEALAND,M,39.0,0,1,Spring
2016.04.25,25-Apr-16,2016,INDONESIA,M,24.0,0,0,Spring
2016.04.23,23-Apr-16,2016,USA,M,15.0,0,0,Spring
2016.04.22,22-Apr-16,2016,SOUTH AFRICA,M,,0,0,Spring
2016.04.19,19-Apr-16,2016,AUSTRALIA,M,12.0,0,0,Spring
2016.04.18,18-Apr-16,2016,FRENCH POLYNESIA,M,26.0,0,1,Spring
2016.04.13,13-Apr-16,2016,USA,M,26.0,0,0,Spring
2016.04.09,09-Apr-16,2016,NEW CALEDONIA,F,69.0,1,0,Spring
2016.04.08,08-Apr-16,2016,CAPE VERDE,M,60.0,0,,Spring
2016.04.07.b,07-Apr-16,2016,USA,M,34.0,0,0,Spring
2016.04.07.a,07-Apr-16,2016,USA,M,,0,,Spring
2016.03.31,31-Mar-16,2016,USA,F,46.0,0,0,Winter
2016.03.30,30-Mar-16,2016,AUSTRALIA,M,22.0,0,0,Winter
2016.03.28.b,28-Mar-16,2016,USA,M,,0,0,Winter
2016.03.28.a,28-Mar-16,2016,AUSTRALIA,M,41.0,0,0,Winter
2016.03.26,26-Mar-16,2016,BAHAMAS,M,9.0,0,1,Winter
2016.03.13,13-Mar-16,2016,USA,,,0,,Winter
2016.03.11,11-Mar-16,2016,USA,M,19.0,0,0,Winter
2016.03.10,10-Mar-16,2016,FIJI,M,45.0,1,0,Winter
2016.03.04,04-Mar-16,2016,USA,M,12.0,0,0,Winter
2016.03.03.R,Reported 03-Mar-2016,2016,AUSTRALIA,M,,0,0,Winter
2016.03.02,02-Mar-16,2016,BRAZIL,M,41.0,0,0,Winter
2016.02.22,22-Feb-16,2016,NEW CALEDONIA,M,21.0,0,0,Winter
2016.02.19, 19-Feb-2016,2016,NEW CALEDONIA,M,31.0,0,0,Winter
2016.02.12,12-Feb-16,2016,DOMINICAN REPUBLIC,F,,0,0,Winter
2016.02.10.R,Reported 10-Feb-2016,2016,CAYMAN ISLANDS,M,65.0,0,,Winter
2016.02.10,10-Feb-16,2016,AUSTRALIA,M,,0,,Winter
2016.02.05,05-Feb-16,2016,AUSTRALIA,F,45.0,0,0,Winter
2016.02.04,04-Feb-16,2016,AUSTRALIA,M,40.0,0,0,Winter
2016.01.29,29-Jan-16,2016,SOUTH AFRICA,M,,0,,Winter
2016.01.28,28-Jan-16,2016,USA,M,,0,0,Winter
2016.01.25,25-Jan-16,2016,USA,F,15.0,0,0,Winter
2016.01.24.b,24-Jan-16,2016,USA,M,,0,0,Winter
2016.01.24.a,24-Jan-16,2016,UNITED ARAB EMIRATES,M,,0,,Winter
2016.01.23,23-Jan-16,2016,USA,M,48.0,0,0,Winter
2016.01.11.R,Reported 11-Jan-2016,2016,AUSTRALIA,M,,0,0,Winter
2016.01.05,05-Jan-16,2016,AUSTRALIA,M,11.0,0,0,Winter
2016.01.02,02-Jan-16,2016,AUSTRALIA,M,31.0,0,0,Winter
2015.12.26,26-Dec-15,2015,SOUTH AFRICA,M,,0,,Autnum
2015.12.25,25-Dec-15,2015,SPAIN,F,38.0,0,0,Autnum
2015.12.22,22-Dec-15,2015,USA,M,71.0,0,0,Autnum
2015.12.21.b,21-Dec-15,2015,AUSTRALIA,M,43.0,0,0,Autnum
2015.12.21.a,21-Dec-15,2015,BRAZIL,M,32.0,0,0,Autnum
2015.12.19,19-Dec-15,2015,ARUBA,M,58.0,1,0,Autnum
2015.12.13,13-Dec-15,2015,AUSTRALIA,,,0,,Autnum
2015.12.11,11-Dec-15,2015,BAHAMAS,M,26.0,0,0,Autnum
2015.12.08,08-Dec-15,2015,SOUTH AFRICA,F,22.0,0,0,Autnum
2015.11.16,16-Nov-15,2015,USA,M,,0,0,Autnum
2015.11.15.b,15-Nov-15,2015,USA,F,,0,0,Autnum
2015.11.15.a,15-Nov-15,2015,USA,M,28.0,0,0,Autnum
2015.11.10,10-Nov-15,2015,AUSTRALIA,M,20.0,0,0,Autnum
2015.12.23,07-Nov-15,2015,USA,F,9.0,0,,Autnum
2015.11.03,03-Nov-15,2015,USA,M,54.0,0,0,Autnum
2015.11.01.b,01-Nov-15,2015,USA,F,28.0,0,0,Autnum
2015.11.01.a,01-Nov-15,2015,MOZAMBIQUE,M,19.0,0,0,Autnum
2015.10.30,30-Oct-15,2015,AUSTRALIA,M,50.0,0,0,Autnum
2015.10.28.a,28-Oct-15,2015,USA,M,10.0,0,0,Autnum
2015.10.25,25-Oct-15,2015,SOUTH AFRICA,M,42.0,0,0,Autnum
2015.10.21,21-Oct-15,2015,USA,M,21.0,0,0,Autnum
2015.10.19,19-Oct-15,2015,USA,M,21.0,0,0,Autnum
2015.10.17.c,17-Oct-15,2015,MOZAMBIQUE,F,35.0,1,0,Autnum
2015.10.17.b,17-Oct-15,2015,USA,M,32.0,0,,Autnum
2015.10.17.a,17-Oct-15,2015,USA,M,44.0,0,0,Autnum
2015.10.13,13-Oct-15,2015,USA,M,,0,,Autnum
2015.10.09.b,09-Oct-15,2015,USA,F,9.0,0,0,Autnum
2015.10.09.a,09-Oct-15,2015,USA,M,25.0,0,0,Autnum
2015.10.08,08-Oct-15,2015,MOZAMBIQUE,M,,0,0,Autnum
2015.10.07,07-Oct-15,2015,AUSTRALIA,M,18.0,0,0,Autnum
2015.10.05.b,05-Oct-15,2015,USA,M,22.0,0,0,Autnum
2015.10.05.a,05-Oct-15,2015,USA,M,13.0,0,0,Autnum
2015.10.04,04-Oct-15,2015,USA,M,14.0,0,0,Autnum
2015.09.29,29-Sep-15,2015,USA,M,22.0,0,0,Summer
2015.09.26,26-Sep-15,2015,AUSTRALIA,F,7.0,0,0,Summer
2015.09.24,24-Sep-15,2015,USA,M,,0,0,Summer
2015.09.20.d,20-Sep-15,2015,USA,M,14.0,0,0,Summer
2015.09.20.c,20-Sep-15,2015,USA,M,27.0,0,0,Summer
2015.09.20.b,20-Sep-15,2015,USA,M,12.0,0,0,Summer
2015.09.20.a,20-Sep-15,2015,USA,M,16.0,0,0,Summer
2015.09.18,18-Sep-15,2015,USA,M,,0,0,Summer
2015.09.17,17-Sep-15,2015,USA,M,20.0,0,0,Summer
2015.09.08,08-Sep-15,2015,AUSTRALIA,M,42.0,0,0,Summer
2015.09.06,06-Sep-15,2015,USA,F,50.0,0,0,Summer
2015.09.05,05-Sep-15,2015,USA,M,29.0,0,1,Summer
2015.09.04,04-Sep-15,2015,AUSTRALIA,M,62.0,0,0,Summer
2015.09.03,03-Sep-15,2015,USA,M,,0,0,Summer
2015.09.01,01-Sep-15,2015,THAILAND,F,37.0,0,0,Summer
2015.09.00,Sep-15,2015,FIJI,M,,0,0,Summer
2015.08.29.b,29-Aug-15,2015,USA,F,54.0,0,0,Summer
2015.08.29.a,29-Aug-15,2015,USA,M,21.0,0,0,Summer
2015.08.22.b,22-Aug-15,2015,USA,M,,0,,Summer
2015.08.22.a,22-Aug-15,2015,AUSTRALIA,M,38.0,0,0,Summer
2015.08.20,20-Aug-15,2015,USA,M,15.0,0,0,Summer
2015.08.19,19-Aug-15,2015,USA,F,10.0,0,0,Summer
2015.08.18.b,18-Aug-15,2015,USA,M,22.0,0,0,Summer
2015.08.18.a,18-Aug-15,2015,SPAIN,M,10.0,0,,Summer
2015.08.10,10-Aug-15,2015,USA,M,57.0,0,1,Summer
2015.07.31,31-Jul-15,2015,AUSTRALIA,M,52.0,0,0,Summer
2015.07.26.b,26-Jul-15,2015,USA,M,25.0,0,0,Summer
2015.07.26.a,26-Jul-15,2015,USA,F,35.0,0,,Summer
2015.07.25,25-Jul-15,2015,AUSTRALIA,M,46.0,1,0,Summer
2015.07.23.b,23-Jul-15,2015,USA,M,31.0,0,1,Summer
2015.07.23.a,23-Jul-15,2015,AUSTRALIA,M,,0,0,Summer
2015.07.22,22-Jul-15,2015,REUNION,M,45.0,0,0,Summer
2015.07.19,19-Jul-15,2015,SOUTH AFRICA,M,34.0,0,0,Summer
2015.07-10,10-Jul-15,2015,USA,M,38.0,0,0,Summer
2015.07.08,08-Jul-15,2015,USA,M,39.0,0,,Summer
2015.07.06,06-Jul-15,2015,FRENCH POLYNESIA,M,,0,,Summer
2015.07.04.b,04-Jul-15,2015,BAHAMAS,F,23.0,0,0,Summer
2015.07.04.a,04-Jul-15,2015,USA,M,32.0,0,0,Summer
2015.07.03,03-Jul-15,2015,AUSTRALIA,M,52.0,0,0,Summer
2015.07.02,02-Jul-15,2015,AUSTRALIA,M,32.0,0,0,Summer
2015.07.01,01-Jul-15,2015,USA,M,68.0,0,0,Summer
2015.06.30.b,30-Jun-15,2015,AUSTRALIA,M,,0,0,Spring
2015.06.30.a,30-Jun-15,2015,USA,M,12.0,0,0,Spring
2015.06.27.b,27-Jun-15,2015,USA,M,18.0,0,0,Spring
2015.06.27.a,27-Jun-15,2015,SOUTH AFRICA,M,19.0,0,0,Spring
2015.06.26.c,26-Jun-15,2015,USA,F,,0,,Spring
2015.06.26.b,26-Jun-15,2015,SOUTH AFRICA,M,23.0,0,0,Spring
2015.06.26.a,26-Jun-15,2015,USA,M,43.0,0,0,Spring
2015.06.25.R,Reported 25-Jun-2015,2015,AUSTRALIA,M,19.0,0,1,Spring
2015.06.25,25-Jun-15,2015,USA,M,47.0,0,0,Spring
2015.06.24.b,24-Jun-15,2015,USA,M,6.0,0,0,Spring
2015.06.24.a,24-Jun-15,2015,AUSTRALIA,F,37.0,0,,Spring
2015.06.23,23-Jun-15,2015,USA,M,9.0,0,0,Spring
2015.06.19,19-Jun-15,2015,PUERTO RICO,M,36.0,0,0,Spring
2015.06.17,17-Jun-15,2015,USA,M,10.0,0,0,Spring
2015.06.14.b,14-Jun-15,2015,USA,M,16.0,0,0,Spring
2015.06.14.a,14-Jun-15,2015,USA,F,12.0,0,0,Spring
2015.06.13,13-Jun-15,2015,USA,F,,0,0,Spring
2015.06.11,11-Jun-15,2015,USA,F,13.0,0,0,Spring
2015.06.07,07-Jun-15,2015,USA,M,11.0,0,0,Spring
2015.06.05,05-Jun-15,2015,USA,F,17.0,0,0,Spring
2015.06.01,01-Jun-15,2015,REUNION,M,47.0,0,0,Spring
2015.05.29.b,29-May-15,2015,USA,F,14.0,0,0,Spring
2015.05.29.a,29-May-15,2015,USA,F,19.0,0,0,Spring
2015.05.25,25-May-15,2015,FRENCH POLYNESIA,M,19.0,0,0,Spring
2015.05.24,24-May-15,2015,USA,F,13.0,0,0,Spring
2015.05.20,20-May-15,2015,USA,M,18.0,0,0,Spring
2015.05.15,15-May-15,2015,USA,M,30.0,0,0,Spring
