,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
0,USA,2016,Northern Hemisphere,Summer,18-Sep-16,2016.09.18.c,N,2016.09.18.c-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf
1,USA,2016,Northern Hemisphere,Summer,18-Sep-16,2016.09.18.b,N,2016.09.18.b-Luciano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf
2,USA,2016,Northern Hemisphere,Summer,18-Sep-16,2016.09.18.a,N,2016.09.18.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf
3,AUSTRALIA,2016,Southern Hemisphere,Winter,17-Sep-16,2016.09.17,N,2016.09.17-Angiolella.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf
5,AUSTRALIA,2016,Southern Hemisphere,Winter,15-Sep-16,2016.09.15.R,N,2016.09.15.R-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf
6,USA,2016,Northern Hemisphere,Summer,11-Sep-16,2016.09.11,N,2016.09.11-PonteVedra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf
7,USA,2016,Northern Hemisphere,Summer,07-Sep-16,2016.09.07,N,2016.09.07-Oahu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf
8,NEW CALEDONIA,2016,Southern Hemisphere,Winter,06-Sep-16,2016.09.06,Y,2016.09.06-Jewell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf
9,USA,2016,Northern Hemisphere,Summer,05-Sep-16,2016.09.05.b,N,2016.09.05.b-Williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf
10,AUSTRALIA,2016,Southern Hemisphere,Winter,05-Sep-16,2016.09.05.a,N,2016.09.05.a-Penman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf
11,USA,2016,Northern Hemisphere,Summer,04-Sep-16,2016.09.04,N,2016.09.04-Moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf
12,USA,2016,Northern Hemisphere,Summer,01-Sep-16,2016.09.01,N,2016.09.01-McQuillen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf
13,USA,2016,Northern Hemisphere,Summer,29-Aug-16,2016.08.29.b,N,2016.08.29.b-Cumiskey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf
14,USA,2016,Northern Hemisphere,Summer,29-Aug-16,2016.08.29.a,N,2016.08.29.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf
15,REUNION,2016,Southern Hemisphere,Winter,27-Aug-16,2016.08.27,N,2016.08.27-Chardard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf
16,USA,2016,Northern Hemisphere,Summer,25-Aug-16,2016.08.25,N,2016.08.25-Cassetty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf
17,BAHAMAS,2016,Northern Hemisphere,Summer,07-Aug-16,2016.08.07,N,2016.08.07-Stoch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf
18,USA,2016,Northern Hemisphere,Summer,06-Aug-16,2016.08.06,N,2016.08.06-Baxter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf
19,USA,2016,Northern Hemisphere,Summer,04-Aug-16,2016.08.04,N,2016.06.04-Tyler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf
21,CHINA,2016,Northern Hemisphere,Summer,28-Jul-16,2016.07.28.R,N,2016.07.28.R-Franz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf
22,AUSTRALIA,2016,Southern Hemisphere,Winter,28-Jul-16,2016.07.28,N,2016.07.28-Watkins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf
23,USA,2016,Northern Hemisphere,Summer,27-Jul-16,2016.07.27,N,2016.07.27-Sapp.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf
