,Country,Year,Case Number,Date,Sex,Age,Fatal (Yes/No),href formula
0,USA,2016,2016.09.18.c,18-Sep-16,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf
1,USA,2016,2016.09.18.b,18-Sep-16,M,36,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf
2,USA,2016,2016.09.18.a,18-Sep-16,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf
3,AUSTRALIA,2016,2016.09.17,17-Sep-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf
5,AUSTRALIA,2016,2016.09.15.R,15-Sep-16,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf
6,USA,2016,2016.09.11,11-Sep-16,M,60s,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf
7,USA,2016,2016.09.07,07-Sep-16,F,51,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf
8,NEW CALEDONIA,2016,2016.09.06,06-Sep-16,M,50,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf
9,USA,2016,2016.09.05.b,05-Sep-16,F,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf
10,AUSTRALIA,2016,2016.09.05.a,05-Sep-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf
11,USA,2016,2016.09.04,04-Sep-16,M,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf
12,USA,2016,2016.09.01,01-Sep-16,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf
13,USA,2016,2016.08.29.b,29-Aug-16,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf
14,USA,2016,2016.08.29.a,29-Aug-16,M,37,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf
15,REUNION,2016,2016.08.27,27-Aug-16,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf
16,USA,2016,2016.08.25,25-Aug-16,M,49,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf
17,BAHAMAS,2016,2016.08.07,07-Aug-16,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf
18,USA,2016,2016.08.06,06-Aug-16,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf
19,USA,2016,2016.08.04,04-Aug-16,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf
21,CHINA,2016,2016.07.28.R,28-Jul-16,M,72,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf
22,AUSTRALIA,2016,2016.07.28,28-Jul-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf
23,USA,2016,2016.07.27,27-Jul-16,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf
24,AUSTRALIA,2016,2016.07.26,26-Jul-16,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-Ballina.pdf
25,JAPAN,2016,2016.07.24,24-Jul-16,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-Japan.pdf
26,AUSTRALIA,2016,2016.07.23.b,23-Jul-16,M,36,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.b-Critchlow.pdf
28,AUSTRALIA,2016,2016.07.20,20-Jul-16,M,31,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.20-Burck.pdf
29,USA,2016,2016.07.17,17-Jul-16,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-Gulf.pdf
30,USA,2016,2016.07.16.b,16-Jul-16,F,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-NSB.pdf
31,USA,2016,2016.07.16.a,16-Jul-16,F,11,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf
32,USA,2016,2016.07.15,15-Jul-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14-MyrtleBeach.pdf
34,SPAIN,2016,2016.07.08.R,Reported 08-Jul-2016,F,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.R-Spain.pdf
35,USA,2016,2016.07.08,08-Jul-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf
36,USA,2016,2016.07.07.b,07-Jul-16,M,59,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-Brissom.pdf
37,USA,2016,2016.07.07.a,07-Jul-16,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf
38,USA,2016,2016.07.06,06-Jul-16,F,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-Njwoman.pdf
