,Case Number,Year,Country,Activity,Sex,Age,Fatal (Y/N)
0,2016.09.18.c,2016,USA,Surfing,M,16.0,N
1,2016.09.18.b,2016,USA,Surfing,M,36.0,N
2,2016.09.18.a,2016,USA,Surfing,M,43.0,N
3,2016.09.17,2016,AUSTRALIA,Surfing,M,,N
4,2016.09.15,2016,AUSTRALIA,Surfing,M,,N
5,2016.09.15.R,2016,AUSTRALIA,Fishing,,,N
6,2016.09.11,2016,USA,Wading,M,,N
7,2016.09.07,2016,USA,Swimming,F,51.0,N
8,2016.09.06,2016,NEW CALEDONIA,Kite surfing,M,50.0,Y
9,2016.09.05.b,2016,USA,Boogie boarding,F,12.0,N
10,2016.09.05.a,2016,AUSTRALIA,Surfing,M,,N
11,2016.09.04,2016,USA,Body boarding,M,9.0,N
12,2016.09.01,2016,USA,Spearfishing,M,22.0,N
13,2016.08.29.b,2016,USA,Surfing,M,25.0,N
14,2016.08.29.a,2016,USA,Surfing,M,37.0,N
15,2016.08.27,2016,REUNION,Surfing,M,20.0,N
16,2016.08.25,2016,USA,Wading,M,49.0,N
17,2016.08.07,2016,BAHAMAS,Snorkeling,M,15.0,N
18,2016.08.06,2016,USA,SUP Foil boarding,M,21.0,N
19,2016.08.04,2016,USA,Surfing,M,22.0,N
20,2016.07.29,2016,SPAIN,Swimming,M,40.0,N
21,2016.07.28.R,2016,CHINA,Swimming,M,72.0,N
22,2016.07.28,2016,AUSTRALIA,Kayaking,M,,N
23,2016.07.27,2016,USA,Lobstering,M,43.0,N
24,2016.07.26,2016,AUSTRALIA,Surfing,M,18.0,N
25,2016.07.24,2016,JAPAN,Surfing,M,29.0,N
26,2016.07.23.b,2016,AUSTRALIA,Surfing,M,36.0,N
27,2016.07.23.a,2016,BAHAMAS,Spearfishing,M,,N
28,2016.07.20,2016,AUSTRALIA,Fishing,M,31.0,N
29,2016.07.17,2016,USA,Fishing in Alabama Deep Fishing Rodeo,,,N
30,2016.07.16.b,2016,USA,Surfing,F,9.0,N
31,2016.07.16.a,2016,USA,,F,11.0,N
32,2016.07.15,2016,USA,Swimming,M,,N
33,2016.07.14.4,2016,BAHAMAS,Scuba Diving,M,,N
34,2016.07.08.R,2016,SPAIN,Wading,F,10.0,N
35,2016.07.08,2016,USA,Fishing for squid,M,,N
36,2016.07.07.b,2016,USA,Fishing,M,59.0,N
37,2016.07.07.a,2016,USA,Fishing for sharks,M,,N
38,2016.07.06,2016,USA,Swimming,F,42.0,N
39,2016.07.04,2016,AUSTRALIA,Fishing,M,34.0,N
40,2016.06.27,2016,USA,,M,35.0,N
41,2016.06.25,2016,USA,Surfing,M,11.0,N
42,2016.06.24,2016,COLUMBIA,Scuba Diving,M,59.0,N
43,2016.06.23,2016,SOUTH AFRICA,Spearfishing,M,43.0,N
